"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","0.1uF X2 275VAC","","","","Capacitor_THT:C_Radial_D16.0mm_H25.0mm_P7.50mm",""
"C4,C5","2","10uF 25V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C6,C7","2","10uF 16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C8","1","100nF 50V","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"F1","1","1A 250VAC","","","","Fuse:Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm",""
"FL1","1","Choke_CommonMode_PulseElectronics_PH9455x105NL","","","","Inductor_THT:L_CommonMode_PulseElectronics_PH9455x105NL_1","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"J1","1","220VAC","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J2","1","3.3 VDC","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"RV1","1","MOV-14D471K","","","","Varistor:RV_Disc_D15.5mm_W3.9mm_P7.5mm",""
"TH1","1","NTC 5D-9","","","","Varistor:RV_Disc_D9mm_W3.8mm_P5mm",""
"U1","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
